runner_id,age,gender,previous_marathon_count,training_program,personal_best_minutes,weekly_mileage_km
R043064,64,Male,2,Intermediate,276,20
R030159,64,Female,1,Beginner,296,20
R033974,41,Male,3,Beginner,268,20
R088109,43,Male,1,Beginner,313,35.4
R042704,48,Male,3,Beginner,334,55.2
R087151,20,Female,2,Intermediate,280,22.7
R061981,32,Male,2,Intermediate,257,20
R015473,47,Female,1,Advanced,237,76
R053664,24,Male,1,Advanced,211,20
R099103,19,Male,5,Beginner,275,64.7
R080903,21,Female,2,Advanced,211,34.2
R082247,57,Male,4,Beginner,279,64
R067294,38,Female,5,Intermediate,256,20
R039455,50,Male,1,Intermediate,258,20
R014773,30,Female,2,Beginner,245,20
R054799,65,Female,1,Intermediate,246,45.6
R063928,58,Female,1,Intermediate,270,20
R053220,22,Female,2,Advanced,229,55.7
R024619,61,Male,3,Intermediate,230,20
R055449,22,Male,0,Beginner,,29.2
R036914,46,Male,0,Beginner,,20
R027645,46,Male,0,Beginner,,30
R098554,45,Male,1,Beginner,330,32.3
R061003,44,Female,2,Beginner,328,28.6
R042836,37,Female,3,Intermediate,241,20
R051659,63,Male,2,Advanced,181,49.1
R043566,64,Female,0,Beginner,,20
R018805,47,Female,3,Advanced,187,50.4
R029787,36,Female,3,Beginner,248,20
R005167,30,Female,3,Beginner,276,20
R043968,61,Female,4,Beginner,318,20
R016862,53,Male,1,Beginner,249,20
R014332,30,Female,0,Beginner,,20
R026062,38,Female,1,Beginner,241,20
R023657,26,Male,3,Beginner,311,110.6101453
R047186,30,Female,2,Beginner,285,20
R086394,26,Female,0,Beginner,,20.2
R010509,37,Male,3,Beginner,265,23.2
R036703,41,Female,1,Beginner,278,20
R011490,55,Female,6,Beginner,281,27.9
R093990,51,Female,1,Intermediate,239,20
R069241,43,Female,1,Beginner,263,20
R014555,22,Female,2,Beginner,293,20
R058336,42,Male,2,Intermediate,236,47.4
R059251,20,Female,1,Beginner,292,21.5
R035674,36,Male,0,Beginner,,25.4
R005382,30,Female,2,Beginner,255,55.9
R003960,55,Male,3,Intermediate,263,23.7
R054300,25,Female,3,Intermediate,235,36.1
R077923,38,Female,3,Advanced,249,50.1
R079645,44,Female,2,Advanced,245,30.1
R078876,57,Male,0,Beginner,,20
R043187,65,Female,3,Intermediate,286,31.4
R062743,27,Female,0,Beginner,,20
R085329,54,Female,4,Advanced,179,56.2
R053295,63,Male,1,Beginner,258,41
R061801,59,Female,1,Beginner,287,20
R077366,63,Female,2,Intermediate,242,20
R039084,50,Male,1,Beginner,272,20
R078171,36,Male,3,Beginner,293,20
R083967,35,Female,2,Advanced,246,90.1
R050890,18,Male,1,Beginner,243,34.9
R002340,32,Female,3,Advanced,194,51.7
R019937,58,Male,4,Beginner,281,20
R033605,36,Male,2,Beginner,284,22.1
R055221,53,Non-binary,3,Beginner,241,24.1
R005264,39,Male,2,Beginner,260,20
R010316,48,Female,2,Beginner,298,40.2
R072853,19,Male,4,Beginner,242,107.4733059
R068699,53,Male,0,Beginner,,25.2
R086496,18,Male,3,Beginner,232,40.6
R067043,64,Non-binary,2,Beginner,298,20
R017636,50,Female,3,Intermediate,218,27.3
R064276,37,Male,2,Beginner,285,57.9
R081502,27,Female,1,Intermediate,248,26.7
R033371,50,Female,2,Intermediate,232,20
R025830,27,Male,1,Intermediate,232,20
R028507,49,Female,2,Intermediate,233,20
R073005,61,Non-binary,2,Beginner,280,21.3
R017281,43,Female,3,Advanced,215,20
R037164,36,Male,1,Intermediate,222,34.2
R048876,42,Male,1,Intermediate,271,42.9
R044433,65,Male,1,Intermediate,191,20
R069797,40,Female,2,Beginner,254,22.8
R070940,36,Male,0,Intermediate,,46.7
R037237,34,Female,2,Beginner,290,27.1
R030760,29,Female,1,Intermediate,258,20
R024467,46,Male,2,Beginner,294,32.9
R005138,36,Female,3,Beginner,304,20
R033323,43,Male,1,Intermediate,187,20
R053717,30,Male,1,Intermediate,234,32.7
R062835,51,Male,2,Intermediate,266,20
R008930,50,Male,1,Intermediate,279,20
R006455,28,Female,0,Intermediate,,20
R074894,56,Male,5,Beginner,300,20
R048495,26,Male,0,Beginner,,20
R040856,56,Female,2,Advanced,210,20
R042121,51,Female,3,Intermediate,240,42.8
R033057,54,Male,2,Advanced,177,20
R000106,25,Male,2,Intermediate,242,54.9
R022227,25,Male,5,Beginner,338,20
R022592,65,Female,1,Beginner,322,20
R003115,38,Female,2,Beginner,329,34.4
R094552,48,Female,3,Beginner,293,23.7
R073519,57,Male,1,Advanced,219,20
R062986,45,Female,2,Beginner,293,28.9
R052113,38,Male,1,Intermediate,258,20
